Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
"(""Centromedian"" AND (nuclei OR nucleus))","(""Heschl's gyrus"" OR ""Transverse temporal"")",0,143,6,149,0
Fusiform,(Raphe AND (nuclei OR nucleus)),38,5417,4347,9764,0.003891848
Globus pallidus,Inferior temporal,40,8066,6575,14641,0.002732054
Diagonal band of Broca,(Septal AND (nuclei OR nucleus)),143,765,2270,3035,0.047116969
Dentate gyrus,Infralimbic,17,11940,479,12419,0.00136887
Diagonal band of Broca,"(Medulla OR ""medulla oblongata"")",19,889,22546,23435,0.000810753
Hippocamp*,Substantia nigra,3,181,19386,19567,0.000153319
"(""Gustatory cortex"" OR ""gustatory area"")","(""Ventral posteromedial"" AND (nuclei OR nucleus))",2,67,141,208,0.009615385
"(""Heschl's gyrus"" OR ""Transverse temporal"")",(Intralaminar AND (nuclei OR nucleus)),0,0,776,776,0
(Inferior AND collicul*),Putamen,451,80882,10298,91180,0.00494626
"(""Gustatory cortex"" OR ""gustatory area"")",(Superior AND collicul*),4,65,172323,172388,2.32E-05
Interstitial nucleus,Precuneus,0,2039,1220,3259,0
Inferior frontal,Subiculum,11,5111,1869,6980,0.001575931
Inferior temporal,Posterior parahippocampal gyrus,97,6518,392,6910,0.014037627
(Intralaminar AND (nuclei OR nucleus)),"(""Posterior nucleus"" AND hypothalamus)",47,729,2693,3422,0.013734658
Lateral geniculate,Primary motor,35,5800,14704,20504,0.001706984
Medial frontal,Ventromedial prefrontal,69,5809,695,6504,0.010608856
Middle temporal,Perirhinal,99,37324,1101,38425,0.002576448
Parahippocamp*,periaqueductal,0,0,4576,4576,0
"(""Mammillary body"" OR ""Mammillary bodies)",Ventromedial prefrontal,0,0,764,764,0
Olfactory bulb,Primary auditory,14,11255,5372,16627,0.000842004
periaqueductal,Postcentral gyrus,1,4575,623,5198,0.000192382
Nucleus basalis,Pulvinar,16,2314,1117,3431,0.004663363
"(""Posterior nucleus"" AND hypothalamus)",Temporoparietal,0,2740,1460,4200,0
"(""Posterior nucleus"" AND hypothalamus)",Zona incerta,137,2603,2783,5386,0.025436316
Perirhinal,Posterior parahippocampal gyrus,61,1139,428,1567,0.038927888
Operculum,Visual cortex,105,821,39148,39969,0.002627036
Posterior cingulate,Ventromedial prefrontal,74,2851,690,3541,0.020898051
Orbitofrontal,Pons,32,2964,17521,20485,0.001562119
Posterior parietal,Primary motor,292,5422,14447,19869,0.014696261
"(""Posterior nucleus"" AND hypothalamus)","(""Straight gyrus"" OR ""gyrus rectus"")",0,2740,2,2742,0
Precuneus,Premotor,97,1123,4632,5755,0.016854909
(Septal AND (nuclei OR nucleus)),Superior temporal,10,2403,8951,11354,0.000880747
Precuneus,Putamen,53,1167,10696,11863,0.004467673
Pontine nuclei,Superior frontal,79,7629,4876,12505,0.006317473
(Septal AND (nuclei OR nucleus)),"(""Red nucleus"")",32,2381,4466,6847,0.00467358
Premotor,Primary motor,992,3737,13747,17484,0.056737589
Precuneus,Visual extrastriate,15,1205,1519,2724,0.005506608
"(""Ventral posterolateral"" AND (nuclei OR nucleus))",Visual cortex,7,136,39246,39382,0.000177746
Subgranular,Thalamus,4,628,32536,33164,0.000120613
Basal forbrain,"(""Straight gyrus"" OR ""gyrus rectus"")",0,1,2,3,0
Caudate,Orbitofrontal,231,18570,2765,21335,0.010827279
Amygdala,Angular gyrus,22,23335,619,23954,0.000918427
Ambiguus,"(""Mammillary body"" OR ""Mammillary bodies)",0,1216,0,1216,0
Angular gyrus,periaqueductal,1,640,4575,5215,0.000191755
Anterior cingulate,"(""Red nucleus"")",17,6756,4481,11237,0.001512859
Amygdala,Superior frontal,242,23115,4713,27828,0.008696277
Claustrum,"(""Superior olive"" OR ""superior olivary"")",0,855,514,1369,0
(Dorsomedial AND hypothal*),"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,0,6,6,0
(Dorsomedial AND hypothal*),Prefrontal,0,0,24101,24101,0
Broca's area,Inferior parietal lobule,280,52143,636,52779,0.00530514
"(""Centromedian"" AND (nuclei OR nucleus))",Parahippocamp*,0,143,0,143,0
Caudate,Middle frontal,775,18026,19697,37723,0.020544495
Caudate,(Septal AND (nuclei OR nucleus)),264,18537,2149,20686,0.012762255
Globus pallidus,Lateral geniculate,49,8057,5786,13843,0.003539695
Cingulate,Orbitofrontal,943,10161,2053,12214,0.077206484
Cingulate,Pons,195,10909,17358,28267,0.006898504
Dentate gyrus,Prefrontal,193,11764,23908,35672,0.005410406
Hippocamp*,Premotor,0,184,4729,4913,0
Hypothalam*,Prefrontal,0,3,24101,24104,0
Inferior parietal lobule,"(""Superior olive"" OR ""superior olivary"")",0,916,514,1430,0
"(""Heschl's gyrus"" OR ""Transverse temporal"")","(Medulla OR ""medulla oblongata"")",0,6,22565,22571,0
"(""Inferior olive"" OR ""Inferior olivary"")",Primary sensory,8,826,11598,12424,0.000643915
Infralimbic,Paracentral lobule,0,496,67,563,0
Middle frontal,Ventral tegmentum,21,20451,4805,25256,0.000831486
(Intralaminar AND (nuclei OR nucleus)),Wernicke's area,39,737,40862,41599,0.000937523
Middle temporal,Substantia nigra,141,37282,19248,56530,0.002494251
Middle temporal,Temporoparietal,275,37148,1185,38333,0.007173975
Orbitofrontal,Thalamic reticular,9,2987,3702,6689,0.001345493
Pons,Pontine nuclei,2764,14789,4944,19733,0.140069934
periaqueductal,Wernicke's area,48,4528,40853,45381,0.001057711
Primary sensory,"(""Red nucleus"")",25,11581,4473,16054,0.001557244
"(""Posterior nucleus"" AND hypothalamus)",Suprachiasmatic,258,2482,5768,8250,0.031272727
Perirhinal,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",5,1195,138,1333,0.003750938
Pons,Wernicke's area,300,17253,40601,57854,0.005185467
Postcentral gyrus,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,624,143,767,0
Posterior parietal,Posterior parahippocampal gyrus,174,5540,315,5855,0.02971819
(Raphe AND (nuclei OR nucleus)),Putamen,155,4230,10594,14824,0.010456017
Superior temporal,Thalamus,473,8488,32067,40555,0.011663173
Putamen,Visual extrastriate,9,10740,1525,12265,0.000733795
Amygdala,Basal forbrain,1868,23357,1,23358,0.0799726
Anterior cingulate,(Intralaminar AND (nuclei OR nucleus)),45,6728,731,7459,0.00603298
Dorsolateral prefrontal,Temporoparietal,22,3590,1438,5028,0.004375497
Infralimbic,Suprachiasmatic,12,484,6014,6498,0.001846722
Dorsolateral prefrontal,Ventromedial prefrontal,163,3449,601,4050,0.040246914
Entorhinal,Perirhinal,576,4971,624,5595,0.102949062
Broca's area,"(""Heschl's gyrus"" OR ""Transverse temporal"")",0,52423,6,52429,0
Calcarine fissure,Cingulate,15,105,11089,11194,0.001340004
Calcarine fissure,"(""Mammillary body"" OR ""Mammillary bodies)",0,120,0,120,0
"(""Centromedian"" AND (nuclei OR nucleus))","(""Ventral posterior"" AND (nuclei OR nucleus))",17,126,1461,1587,0.010712035
"(""Centromedian"" AND (nuclei OR nucleus))",Operculum,0,143,926,1069,0
Dorsolateral prefrontal,Insula*,226,3386,2884,6270,0.036044657
Cingulate,"(""Ventral posterior"" AND (nuclei OR nucleus))",95,11009,1383,12392,0.007666236
Globus pallidus,(Inferior AND collicul*),235,7871,81098,88969,0.002641369
(Cochlear AND (nuclei OR nucleus)),Suprachiasmatic,7,4420,6019,10439,0.000670562
"(""Gustatory cortex"" OR ""gustatory area"")",Suprachiasmatic,0,69,6026,6095,0
"(""Heschl's gyrus"" OR ""Transverse temporal"")","(""Ventral anterior"" AND (nuclei OR nucleus))",0,6,1458,1464,0
Hippocamp*,Wernicke's area,6,178,40895,41073,0.000146081
(Inferior AND collicul*),Olfactory bulb,211,81122,11058,92180,0.002289
Hippocamp*,Postcentral gyrus,0,184,624,808,0
(Inferior AND collicul*),Posterior parahippocampal gyrus,118,81215,371,81586,0.001446327
Insula*,Medial frontal,303,2807,5575,8382,0.03614889
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Posterior parahippocampal gyrus,0,6,489,495,0
"(""Inferior olive"" OR ""Inferior olivary"")",Primary auditory,16,818,5370,6188,0.00258565
(Intralaminar AND (nuclei OR nucleus)),Operculum,3,773,923,1696,0.001768868
(Intralaminar AND (nuclei OR nucleus)),periaqueductal,51,725,4525,5250,0.009714286
"(""Medial dorsal"" AND nucl*)",Primary sensory,0,1,11606,11607,0
Infralimbic,"(""Locus coeruleus"" OR ""locus ceruleus"")",11,485,3297,3782,0.002908514
Infralimbic,(Periventricular AND (nuclei OR nucleus)),11,485,1063,1548,0.007105943
Medial geniculate,Wernicke's area,390,1472,40511,41983,0.009289474
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Supplementary motor,0,6,2774,2780,0
Orbitofrontal,Subiculum,11,2985,1869,4854,0.002266172
Olfactory bulb,Premotor,3,11266,4726,15992,0.000187594
"(""Mammillary body"" OR ""Mammillary bodies)",Zona incerta,0,4,2912,2916,0
Olfactory bulb,Thalamus,719,10550,31821,42371,0.016969153
Parahippocamp*,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,0,143,143,0
"(Medulla OR ""medulla oblongata"")","(""Ventral anterior"" AND (nuclei OR nucleus))",121,22444,1337,23781,0.005088096
Piriform cortex,"(""Posterior nucleus"" AND hypothalamus)",39,2031,2701,4732,0.008241758
Pineal,Superior temporal,11,14392,8950,23342,0.000471254
"(""Posterior nucleus"" AND hypothalamus)",Primary auditory,3,2737,5383,8120,0.000369458
Posterior cingulate,Pulvinar,30,2895,1103,3998,0.007503752
Perirhinal,Posterior parietal,42,1158,5672,6830,0.006149341
Primary auditory,Primary motor,478,4908,14261,19169,0.024936095
Pons,Suprachiasmatic,44,17509,5982,23491,0.001873058
Posterior cingulate,Subthalam*,0,2925,0,2925,0
(Periventricular AND (nuclei OR nucleus)),Posterior parahippocampal gyrus,0,1074,489,1563,0
Primary motor,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",6,14733,137,14870,0.000403497
Pulvinar,Putamen,54,1079,10695,11774,0.004586377
Premotor,Visual cortex,914,3815,38339,42154,0.021682403
Prefrontal,Substantia nigra,430,23671,18959,42630,0.010086793
Putamen,Temporoparietal,18,10731,1442,12173,0.001478682
Superior temporal,Supplementary motor,194,8767,2580,11347,0.01709703
Caudate,Substantia nigra,2822,15979,16567,32546,0.086708044
"(""Centromedian"" AND (nuclei OR nucleus))","(""Gustatory cortex"" OR ""gustatory area"")",0,143,69,212,0
Angular gyrus,Globus pallidus,0,641,8106,8747,0
Angular gyrus,"(""Superior olive"" OR ""superior olivary"")",0,641,514,1155,0
Anterior cingulate,Operculum,95,6678,831,7509,0.012651485
Anterior cingulate,Inferior temporal,529,6244,6086,12330,0.042903487
Claustrum,Ventral tegmentum,14,841,4812,5653,0.002476561
Cingulum,Suprachiasmatic,0,685,6026,6711,0
(Dorsomedial AND hypothal*),Perirhinal,0,0,1200,1200,0
Entorhinal,Zona incerta,19,5528,2901,8429,0.002254123
Fusiform,(Inferior AND collicul*),779,4676,80554,85230,0.009139974
Calcarine fissure,Broca's area,4,116,52419,52535,7.61E-05
Basal forbrain,Precuneus,37,1,1220,1221,0.03030303
Caudate,Pons,481,18320,17072,35392,0.013590642
Cingulate,Prefrontal,3673,7431,20428,27859,0.131842493
Cerebellum,Suprachiasmatic,111,56772,5915,62687,0.001770702
Dorsolateral prefrontal,(Dorsomedial AND hypothal*),0,3612,0,3612,0
Cingulate,"(""Straight gyrus"" OR ""gyrus rectus"")",0,11104,2,11106,0
Diagonal band of Broca,Fusiform,11,897,5444,6341,0.001734742
Fusiform,Posterior parahippocampal gyrus,72,5383,417,5800,0.012413793
Indusium griseum,"(""Medial dorsal"" AND nucl*)",0,77,1,78,0
Hippocamp*,Infralimbic,0,184,496,680,0
Inferior frontal,Parahippocamp*,0,5122,0,5122,0
(Intralaminar AND (nuclei OR nucleus)),Postcentral gyrus,0,776,624,1400,0
Interstitial nucleus,Subiculum,6,2033,1874,3907,0.001535705
"(""Medial dorsal"" AND nucl*)",Ventral tegmentum,0,1,4826,4827,0
Middle frontal,Pontine nuclei,46,20426,7662,28088,0.00163771
Middle temporal,Nucleus basalis,45,37378,2285,39663,0.001134559
"(""Locus coeruleus"" OR ""locus ceruleus"")",Precuneus,1,3307,1219,4526,0.000220946
"(""Locus coeruleus"" OR ""locus ceruleus"")",Suprachiasmatic,45,3263,5981,9244,0.004868023
Pineal,Primary sensory,15,14388,11591,25979,0.000577389
Nucleus accumbens,Ventromedial prefrontal,49,12758,715,13473,0.003636903
Operculum,Subthalam*,0,926,0,926,0
Posterior parahippocampal gyrus,Subthalam*,0,489,0,489,0
Putamen,Superior temporal,203,10546,8758,19304,0.010515955
Superior frontal,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",1,4954,142,5096,0.000196232
Calcarine fissure,Precuneus,1,119,1219,1338,0.000747384
Ambiguus,Pontine nuclei,111,1105,7597,8702,0.012755688
Ambiguus,Hypothalam*,0,1216,3,1219,0
Amygdala,Pons,572,22785,16981,39766,0.014384147
Angular gyrus,Precuneus,65,576,1155,1731,0.037550549
Anterior cingulate,Angular gyrus,64,6709,577,7286,0.008783969
Anterior cingulate,"(Medulla OR ""medulla oblongata"")",31,6742,22534,29276,0.001058888
Entorhinal,Medial geniculate,25,5522,1837,7359,0.003397201
(Dorsomedial AND hypothal*),Operculum,0,0,926,926,0
Entorhinal,Subthalam*,0,5547,0,5547,0
Entorhinal,(Periventricular AND (nuclei OR nucleus)),19,5528,1055,6583,0.002886222
(Cochlear AND (nuclei OR nucleus)),Inferior parietal lobule,0,4427,916,5343,0
Basal forbrain,Inferior temporal,217,1,6615,6616,0.032799274
Broca's area,Subthalam*,0,52423,0,52423,0
